product_id,name,unit_price,available,lead_time_days,category,unit,description
WLD-ELEC-030,Welding Electrode E6013 3.15mm 5kg,650.0,True,3,welding,pack,E6013 rutile welding electrode 3.15mm 5kg pack
WLD-WIRE-031,MIG Welding Wire ER70S-6 0.8mm 15kg,2800.0,True,5,welding,spool,ER70S-6 MIG wire 0.8mm 15kg spool CO2 welding
TOOL-DISC-032,Cutting Disc 230x3x22.2mm Box 25,900.0,True,3,tools,box,Resinoid cutting disc 230mm for steel box 25
TOOL-DISC-033,Grinding Disc 125x6x22.2mm Box 25,850.0,True,3,tools,box,Depressed centre grinding wheel 125mm for mild steel box 25
TOOL-DRILL-034,HSS Drill Bit 10mm,85.0,True,3,tools,pcs,HSS-Co high speed steel twist drill bit 10mm DIN 338
IT-LAP-035,Laptop Core i5 13th Gen 8GB 512GB SSD,52000.0,True,7,it_hardware,pcs,Business laptop Intel Core i5 13th gen 8GB 512GB 15.6 inch
IT-UPS-036,UPS 1KVA Line Interactive,7500.0,True,5,it_hardware,pcs,1KVA 800W line interactive UPS with AVR
IT-SWITCH-037,Managed Switch 24-Port Gigabit,18000.0,False,14,it_hardware,pcs,24-port gigabit managed ethernet switch VLAN QoS 1U
IT-ROUTER-038,WiFi 6 Router Dual Band,6500.0,True,5,it_hardware,pcs,WiFi 6 AX1800 dual band wireless router office use
LUB-OIL-039,Hydraulic Oil ISO VG 46 20L,2800.0,True,5,lubricants,can,Anti-wear hydraulic oil ISO VG 46 20 litre
LUB-GREASE-040,Lithium Grease EP-2 1kg,320.0,True,3,lubricants,tin,Lithium complex EP NLGI 2 bearing grease 1kg
ELEC-MCCB-250,MCCB 250A 3P 36kA,8500.0,True,5,electrical,pcs,Schneider EasyPact 250A 3-pole MCCB 36kA
ELEC-ELCB-40,Earth Leakage Circuit Breaker 40A 30mA,1450.0,False,7,electrical,pcs,ELCB 40A 30mA sensitivity 4 pole
ELEC-BUSBAR-100,Busbar Copper 100A 3-Phase,950.0,True,3,electrical,mtr,3-phase copper busbar rated at 100A
ELEC-DINRAIL-35,DIN Rail 35mm Top Hat 1000mm,75.0,True,2,electrical,pcs,Galvanised steel DIN rail 35mm standard 1m length
ELEC-TERM-4,Terminal Block 4mm² Grey,15.0,True,2,electrical,pcs,Grey feed-through terminal block 4sqmm screw connection
ELEC-SPD-T2,Surge Protection Device Type 2,2800.0,True,5,electrical,pcs,Type 2 surge protection device for power lines
ELEC-ENC-862,Panel Enclosure 800×600×200 IP65,9500.0,True,7,electrical,pcs,Wall-mounted sheet steel IP65 electrical enclosure
LUB-ENG-OIL40,Engine Oil SAE 40 CD/CF (Drum 208L),38000.0,True,5,lubricants,drum,Marine engine lubrication oil SAE 40 CD/CF grade
LUB-HYD-OIL46,Hydraulic Oil ISO VG 46 (Drum 208L),35000.0,True,5,lubricants,drum,Premium anti-wear hydraulic fluid ISO VG 46
LUB-GRS-EP2-18,Grease Multipurpose NLGI 2 (18kg Pail),7500.0,True,3,lubricants,pcs,Multipurpose extreme pressure lithium grease EP2 18kg pail
SAF-HELM-WHITE,Safety Helmet White EN 397,280.0,True,3,safety,pcs,Industrial safety helmet white colour EN 397 certified
SAF-SHOE-S3-42,Safety Boots Steel Toe S3 (Size 42),1800.0,True,4,safety,pair,Steel toe safety boots S3 protection grade size 42
PNT-PRMER-RED,Paint Anti-Corrosive Primer Red (20L),6800.0,True,3,paint,tin,Red oxide anti-corrosive primer paint 20L tin
PNT-FOUL-20L,Paint Anti-Fouling (20L),18000.0,False,10,paint,tin,Marine anti-fouling paint for ship hulls 20L tin
WLD-ELEC-6013B,Welding Electrode E6013 3.2mm (5kg box),650.0,True,2,welding,box,Mild steel welding electrode E6013 size 3.2mm
GEN-TISSUE-48,Toilet Paper 2-ply Roll (48 pack),950.0,True,2,general,pack,Soft 2-ply toilet paper rolls pack of 48
GEN-SOAP-5L,Liquid Dish Soap 5L Can,450.0,True,2,general,can,Concentrated liquid dishwashing soap 5L can
HVAC-AHU-20K,"Air Handling Unit 20,000 CFM",850000.0,True,30,hvac,pcs,"Double skin air handling unit 20,000 CFM Carrier/Trane/York"
HVAC-FCU-1200,Fan Coil Unit 4-pipe 1200 CFM,45000.0,True,15,hvac,pcs,Concealed ceiling fan coil unit 4-pipe 1200 CFM
HVAC-PUMP-150,Chilled Water Pump 150 GPM 30m head,120000.0,False,20,hvac,pcs,Chilled water circulation pump 150 GPM 30m head Grundfos
HVAC-VAV-DDC,VAV Box with DDC Controller,18000.0,True,10,hvac,pcs,Variable air volume box with integrated Siemens DDC controller
HVAC-INS-ARM25,Duct Insulation Armaflex 25mm,450.0,True,5,hvac,sqm,Armaflex class O nitrile rubber sheet insulation 25mm thick
HVAC-DUCT-GI,GI Ductwork Medium Pressure,280.0,True,7,hvac,kg,Galvanised iron ductwork medium pressure SMACNA standards
HVAC-R410A-11,Refrigerant R410A (11.3kg cylinder),4200.0,True,3,hvac,cyl,Refrigerant gas R410A 11.3kg disposable cylinder
SAF-GOGGLE-CS,"Safety Goggles (clear lens, anti-scratch)",120.0,True,3,safety,pcs,Anti-scratch anti-fog clear safety glasses
SAF-GLOVE-LTHR,Leather Welding Gloves,280.0,True,3,safety,pair,Heavy duty cowhide leather welding gloves
SAF-PLUG-NRR33,"Ear Plugs (disposable, NRR 33) Pair",5.0,True,2,safety,pair,Soft disposable foam earplugs NRR 33 rating
SAF-HARN-EN361,Safety Harness Full Body (EN 361),2500.0,False,5,safety,pcs,Full body fall arrest safety harness EN 361 certified
IT-LAP-I7,"Business Laptop 14"" i7/16GB/512GB",85000.0,True,7,it_hardware,pcs,Business Laptop 14 inch Intel Core i7 16GB RAM 512GB SSD
IT-MON-27-4K,"27"" 4K IPS Monitor USB-C",32000.0,True,5,it_hardware,pcs,27 inch 4K UHD IPS display USB-C power delivery
IT-DOCK-TB4,Docking Station Thunderbolt 4,14500.0,False,7,it_hardware,pcs,Universal Thunderbolt 4 docking station Dell WD22
IT-KBD-COMBO,Wireless Keyboard & Mouse Combo,4200.0,True,3,it_hardware,set,Logitech wireless keyboard and mouse combo
IT-CHGR-65W,USB-C 65W Travel Charger,1800.0,True,3,it_hardware,pcs,65W USB-C PD travel charger wall plug
IT-BAG-14,"Laptop Bag 14"" Padded",1200.0,True,3,it_hardware,pcs,Padded notebook carrying case bag for 14 inch laptops
